,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,13,38,0,0,12,4,0,0,8.46,
2,Nathaniel Chalobah,DC,1,21,76,0,0,3,2,0,0,7.33,
3,Jonathan Woodgate,DC,0,17,53,0,0,3,0,0,0,7.93,
4,Daniel Ayala,DC,0,13,54,0,0,0,0,0,0,6.41,
5,Albert Adomah,DMR,1,25,52,4,1,4,0,0,0,7.68,
6,Emmanuel Jorge Ledesma,DML,1,28,64,6,2,7,4,0,0,7.33,
7,Jacob Butterfield72',MC,0,26,77,0,0,5,4,0,0,7.32,
8,Dean Whitehead,MC,1,31,84,0,0,5,3,0,0,7.04,
9,Grant Leadbitter,MC,2,26,69,2,1,0,0,0,0,7.23,
10,Lee Tomlin82',FW,1,20,75,0,0,1,1,0,0,7.2,
11,Danny Graham89',FW,1,13,54,1,0,1,0,0,0,6.89,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
13,Curtis Main89',Sub,0,0,0,0,0,0,0,0,0,6,
14,József Varga72',Sub,1,6,67,0,0,0,0,0,0,6.33,
15,Luke Williams82',Sub,0,4,25,0,0,2,0,0,0,6.22,
16,Adam Jackson,Sub,0,0,0,0,0,0,0,0,0,0,
17,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,0,
18,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,0,
