,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jayson Leutwiler,GK,0,10,70,0,0,5,2,0,0,6.12,
2,Frazer Richardson,DR,1,56,79,3,1,5,1,0,0,6.23,
3,Jonathan Woodgate,DC,0,45,87,0,0,4,4,0,0,6.72,
4,Rhys Williams,DC,2,56,89,0,0,9,6,0,0,6.63,
5,George Friend,DL,1,28,68,3,2,4,2,0,0,6.83,
6,Albert Adomah,MR,2,29,83,15,2,1,1,0,0,6.35,
7,Grant Leadbitter,MC,3,51,92,4,1,6,6,0,0,7,
8,Dean Whitehead,MC,0,78,90,0,0,11,7,0,0,6.51,
9,József Varga60',MC,0,13,92,0,0,1,1,0,0,6.22,
10,Mustapha Carayol,ML,1,13,62,4,1,0,0,0,0,6.11,
11,Lukas Jutkiewicz,FW,0,10,60,1,0,0,0,0,0,5.99,
12,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,0,
13,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
16,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,0,0,
17,Marvin Emnes60',Sub,0,8,100,2,0,0,0,0,0,7.02,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
