R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,15,33,0,0,11,2,0,0,6.7,
2,József Varga,DR,0,24,67,1,0,3,1,0,0,6.64,
3,Kenneth Omeruo,DC,0,35,57,0,0,9,4,0,0,7.86,
4,Ben Gibson,DC,2,26,62,0,0,4,1,0,0,7.08,
5,George Friend,DL,2,36,72,4,0,4,0,0,0,7.67,
6,Emmanuel Jorge Ledesma,MR,0,31,61,4,1,6,2,0,0,6.47,
7,Grant Leadbitter,MC,3,32,84,9,4,5,4,0,0,8.41,
8,Nathaniel Chalobah,MC,0,35,80,0,0,4,2,0,0,7.15,
9,Mustapha Carayol81',ML,1,25,76,5,1,3,2,0,0,8.32,
10,Lee Tomlin78',AMC,0,17,88,0,0,0,0,1,0,6.53,
11,Danny Graham72',FW,1,14,50,0,0,0,0,0,0,8.54,
12,Jacob Butterfield78',Sub,0,10,90,0,0,3,2,0,0,6.16,
13,Luke Williams,Sub,0,0,0,0,0,0,0,0,0,0,
14,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,0,
15,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,0,
16,Kei Kamara72',Sub,1,6,50,0,0,1,1,0,0,6.35,
17,Curtis Main81',Sub,0,4,100,0,0,0,0,0,0,5.9,
18,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
