R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Tomás Mejías,GK,0,14,57,0,0,10,4,0,0,6.18,
2,Damiá,DR,0,40,78,1,0,7,3,0,0,6.57,
3,Kenneth Omeruo,DC,0,52,71,1,0,20,12,0,0,7.04,
4,Sebastian Hines76',DC,2,28,79,0,0,12,7,0,0,6.32,
5,George Friend,DL,2,63,67,1,0,16,6,0,0,7.33,
6,Adam Clayton77',DMC,3,33,94,0,0,5,4,0,0,6.68,
7,Grant Leadbitter,DMC,9,48,71,16,9,5,0,0,0,8.52,
8,Albert Adomah,AMR,0,21,76,10,2,1,1,0,0,7.01,
9,Lee Tomlin59',AMC,1,13,77,0,0,0,0,0,0,5.91,
10,Adam Reach,AML,2,36,64,11,3,6,2,0,0,7.99,
11,Kike,FW,3,28,64,0,0,0,0,0,0,6.36,
12,Emmanuel Ledesma,Sub,0,0,0,0,0,0,0,0,0,undefined,
13,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,undefined,
14,Luke Williams76',Sub,0,2,100,0,0,0,0,0,0,6.02,
15,Dean Whitehead77',Sub,0,14,64,0,0,3,2,0,0,6.19,
16,Patrick Bamford59',Sub,0,2,100,1,0,0,0,0,0,5.9,
17,Daniel Ayala,Sub,0,0,0,0,0,0,0,0,0,undefined,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,undefined,
