,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,29,69,0,0,13,4,0,0,5.79,
2,Frazer Richardson,DR,2,31,74,3,2,2,1,0,0,7.43,
3,Sebastian Hines,DC,2,46,72,0,0,12,5,0,0,6.49,
4,Ben Gibson,DC,0,44,77,0,0,15,8,0,0,5.81,
5,George Friend,DL,1,37,73,6,2,6,3,0,0,6.33,
6,Jacob Butterfield45',MR,1,23,83,2,1,3,2,0,0,5.83,
7,Grant Leadbitter,MC,1,55,82,6,2,7,5,0,0,6.49,
8,Dean Whitehead45',MC,1,26,92,0,0,5,4,0,0,5.78,
9,Albert Adomah,ML,0,26,81,6,2,0,0,0,0,8.37,
10,Lukas Jutkiewicz67',FW,0,15,47,1,0,0,0,0,0,5.95,
11,Kei Kamara,FW,2,19,47,1,1,0,0,0,0,6.54,
12,Richard Smallwood45',Sub,3,24,88,3,1,2,2,0,0,7.63,
13,Rhys Williams,Sub,0,0,0,0,0,0,0,0,0,0,
14,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
15,Marvin Emnes45',Sub,1,22,91,1,0,0,0,0,0,6.2,
16,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,0,0,
17,József Varga,Sub,0,0,0,0,0,0,0,0,0,0,
18,Mustapha Carayol67',Sub,0,5,80,5,1,1,0,0,0,7.19,
