R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,22,41,0,0,21,8,0,0,7.31,
2,Ryan Fredericks,DR,1,47,83,0,0,6,4,0,0,8.81,
3,Kenneth Omeruo,DC,0,34,56,0,0,19,6,0,0,7.6,
4,Ben Gibson,DC,1,27,67,0,0,7,2,0,0,7.51,
5,George Friend,DL,2,37,73,1,1,5,0,0,0,7.48,
6,Dean Whitehead,DMC,1,57,93,0,0,7,5,0,0,6.7,
7,Grant Leadbitter70',DMC,1,45,87,3,0,6,4,0,0,8.08,
8,Albert Adomah,AMR,1,30,83,6,1,2,1,0,0,8.51,
9,Patrick Bamford76',AMC,0,11,82,0,0,1,1,0,0,7.57,
10,Emilio Nsue Lopez,AML,4,30,77,8,3,2,1,0,0,8.27,
11,Jelle Vossen85',FW,3,29,66,0,0,4,4,2,1,7.81,
12,Adam Clayton70',Sub,1,16,81,3,3,2,1,0,0,6.73,
13,Kike76',Sub,1,4,100,0,0,0,0,0,0,7.36,
14,James Husband,Sub,0,0,0,0,0,0,0,0,0,undefined,
15,Adam Reach85',Sub,0,1,100,0,0,0,0,0,0,6.02,
16,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,0,undefined,
17,Jamal Blackman,Sub,0,0,0,0,0,0,0,0,0,undefined,
18,Lee Tomlin,Sub,0,0,0,0,0,0,0,0,0,undefined,
