R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,21,33,0,0,15,3,0,0,6.88,
2,József Varga,DR,0,36,78,0,0,2,1,0,0,6.42,
3,Kenneth Omeruo67',DC,0,25,76,0,0,6,4,0,0,6.61,
4,Jonathan Woodgate41',DC,0,17,59,0,0,2,0,0,0,6.97,
5,Ben Gibson,DL,0,58,67,5,0,5,2,0,0,5.87,
6,Albert Adomah,MR,3,27,63,2,1,0,0,0,0,6.8,
7,Jacob Butterfield60',MC,0,50,76,3,0,7,5,0,0,6.38,
8,Dean Whitehead,MC,2,72,86,0,0,11,8,0,0,6.85,
9,Adam Reach,ML,2,53,89,3,1,3,2,0,0,6.89,
10,Lee Tomlin,AMC,5,53,81,0,0,1,0,0,0,9.38,
11,Danny Graham,FW,2,18,83,0,0,0,0,0,0,7.61,
12,Sebastian Hines67',Sub,0,7,57,0,0,2,1,0,0,6.54,
13,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
14,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,0,
16,Daniel Ayala41',Sub,0,15,80,0,0,3,3,0,0,8.26,
17,Nathaniel Chalobah60',Sub,2,12,83,0,0,0,0,0,0,6.61,
18,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,0,
