,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,17,65,0,0,13,8,0,0,6.59,
2,Rhys Williams,DR,1,24,88,0,0,4,3,0,0,6.48,
3,Sebastian Hines88',DC,0,40,80,0,0,10,8,0,0,5.78,
4,Daniel Ayala,DC,1,33,85,0,0,10,9,0,0,7.65,
5,Ben Gibson,DL,1,40,88,3,1,9,8,0,0,6.7,
6,Albert Adomah,MR,1,13,69,5,1,0,0,0,0,7.08,
7,Grant Leadbitter,MC,3,35,83,11,6,13,9,0,0,7.8,
8,Richard Smallwood,MC,2,28,86,1,1,4,2,0,0,6.26,
9,Mustapha Carayol78',ML,1,15,87,8,0,0,0,0,0,6.29,
10,Kei Kamara,FW,1,22,68,1,0,1,1,0,0,7.15,
11,Marvin Emnes78',FW,2,11,100,2,1,0,0,0,0,6.26,
12,Brad Halliday78',Sub,0,1,100,1,0,0,0,0,0,6.09,
13,George Friend88',Sub,0,2,100,1,0,0,0,0,0,6.1,
14,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,0,0,
15,Jacob Butterfield78',Sub,1,6,83,1,0,0,0,0,0,6.2,
16,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,0,0,0,
17,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
18,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,0,
