R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,17,71,0,0,12,7,0,0,7.59,
2,József Varga,DR,0,24,75,0,0,4,2,0,0,7.12,
3,Ben Gibson,DC,0,26,38,0,0,14,4,0,0,7.58,
4,Kenneth Omeruo,DC,0,36,47,0,0,14,4,0,0,7.42,
5,George Friend,DL,0,30,57,2,0,5,2,0,0,6.93,
6,Albert Adomah,MR,0,31,68,4,0,2,0,0,0,6.57,
7,Dean Whitehead,MC,1,38,76,1,0,5,2,0,0,7.07,
8,Grant Leadbitter76',MC,1,21,62,7,1,4,1,0,0,6.48,
9,Mustapha Carayol89',ML,1,3,0,4,1,0,0,0,0,6.27,
10,Lee Tomlin58',AMC,1,15,60,0,0,0,0,0,0,6.54,
11,Danny Graham,FW,0,14,71,1,0,1,0,0,0,6.16,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
13,Curtis Main89',Sub,0,1,0,0,0,0,0,0,0,5.91,
14,Emmanuel Jorge Ledesma76',Sub,0,2,50,0,0,0,0,0,0,5.94,
15,Luke Williams,Sub,0,0,0,0,0,0,0,0,0,0,
16,Nathaniel Chalobah58',Sub,0,15,73,0,0,2,2,0,0,6.83,
17,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,0,
18,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,0,
