R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,21,29,0,0,16,2,0,0,7.11,
2,József Varga,DR,0,42,86,0,0,4,2,0,0,6.98,
3,Ben Gibson,DC,0,37,76,0,0,5,3,0,0,6.91,
4,Kenneth Omeruo,DC,0,41,71,0,0,12,4,0,0,7.69,
5,George Friend,DL,0,19,79,4,1,2,2,0,0,7.03,
6,Luke Williams79',MR,2,49,90,1,1,1,1,0,0,6.46,
7,Grant Leadbitter,MC,2,66,91,7,3,13,11,0,0,7.54,
8,Nathaniel Chalobah,MC,1,45,78,0,0,5,4,0,0,8.48,
9,Albert Adomah89',ML,2,34,79,3,1,1,0,0,0,6.52,
10,Lee Tomlin59',AMC,1,35,74,0,0,3,1,1,1,6.64,
11,Danny Graham,FW,1,15,47,2,0,1,1,0,0,6.3,
12,Mark Kitching,Sub,0,0,0,0,0,0,0,0,0,0,
13,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,0,
14,Kei Kamara,Sub,0,0,0,0,0,0,0,0,0,0,
15,Jacob Butterfield79',Sub,1,5,100,0,0,0,0,0,0,6.05,
16,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
17,Curtis Main89',Sub,0,0,0,0,0,0,0,0,0,6,
18,Emmanuel Jorge Ledesma59',Sub,1,16,69,2,0,5,1,0,0,6.3,
