,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,28,29,0,0,27,8,0,0,7.89,
2,Frazer Richardson,DR,0,14,71,3,1,2,1,0,0,6.98,
3,Jonathan Woodgate,DC,0,16,56,0,0,7,4,0,0,7.37,
4,Rhys Williams,DC,1,18,78,0,0,4,3,0,0,6.82,
5,George Friend,DL,1,29,62,0,0,2,0,0,0,8.5,
6,Grant Leadbitter,MC,2,39,67,3,2,5,4,0,0,7.13,
7,Dean Whitehead,MC,0,36,83,0,0,5,3,0,0,7,
8,Jacob Butterfield,MC,0,23,91,2,0,1,1,0,0,7.03,
9,Kei Kamara81',FWR,1,23,78,0,0,3,2,0,0,7.27,
10,Marvin Emnes77',FW,4,36,89,2,0,0,0,0,0,6.65,
11,Albert Adomah80',FWL,1,23,65,4,1,6,2,0,0,7.05,
12,Lukas Jutkiewicz81',Sub,1,3,33,0,0,0,0,0,0,6.11,
13,Mustapha Carayol80',Sub,0,2,50,0,0,0,0,0,0,6.27,
14,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,0,0,
15,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
16,Emmanuel Jorge Ledesma78',Sub,0,2,50,1,0,0,0,0,0,5.09,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
