,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,28,64,0,0,22,13,0,0,6.88,
2,Rhys Williams,DR,1,34,74,1,1,5,3,0,0,7.03,
3,Daniel Ayala,DC,0,23,74,0,0,4,2,0,0,7.14,
4,Jonathan Woodgate,DC,1,23,78,0,0,6,4,0,0,7.5,
5,George Friend,DL,0,32,72,5,3,11,5,0,0,7.33,
6,Richard Smallwood,DMC,1,51,84,1,0,7,5,0,0,6.64,
7,József Varga72',DMC,0,22,86,1,1,1,1,0,0,6.28,
8,Albert Adomah85',AMR,0,18,67,4,0,2,1,0,0,6.22,
9,Grant Leadbitter,AMC,3,45,78,10,2,14,9,0,0,6.27,
10,Marvin Emnes72',AML,0,27,85,0,0,4,4,0,0,6.07,
11,Kei Kamara,FW,0,47,62,5,1,2,0,0,0,7.02,
12,Lukas Jutkiewicz72',Sub,0,6,67,0,0,1,0,0,0,5.95,
13,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,0,
14,Mustapha Carayol72',Sub,1,10,90,3,2,1,1,0,0,6.3,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
16,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,0,
17,Jacob Butterfield85',Sub,0,4,100,0,0,0,0,0,0,6.01,
18,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
