R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,14,86,0,0,10,8,0,0,5.5,
2,Frazer Richardson,DR,0,53,64,0,0,5,2,0,0,6.55,
3,Daniel Ayala,DC,0,42,74,0,0,7,4,0,0,5.97,
4,Jonathan Woodgate,DC,0,38,84,0,0,6,4,0,0,7.07,
5,George Friend,DL,0,41,80,2,0,4,1,0,0,6.71,
6,Albert Adomah,MR,4,39,82,4,2,6,3,0,0,7.48,
7,Grant Leadbitter,MC,2,54,78,2,1,6,4,0,0,6.41,
8,Richard Smallwood82',MC,1,53,70,0,0,8,6,0,0,6.68,
9,Mustapha Carayol67',ML,0,10,100,5,0,1,1,0,0,7.25,
10,Marvin Emnes44',FW,0,9,89,2,0,0,0,0,0,5.81,
11,Kei Kamara,FW,0,40,83,1,0,2,1,0,0,7.12,
12,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,0,0,
13,Lukas Jutkiewicz82',Sub,0,2,100,0,0,0,0,0,0,6.12,
14,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
15,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,0,
16,Curtis Main67',Sub,0,4,75,1,0,0,0,0,0,5.89,
17,Rhys Williams,Sub,0,0,0,0,0,0,0,0,0,0,
18,Jayson Leutwiler44',Sub,0,7,71,0,0,5,3,0,0,7,
