R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,20,60,0,0,12,5,0,0,6.46,
2,Rhys Williams89',DR,0,51,78,5,0,7,4,0,0,6.69,
3,Daniel Ayala,DC,0,45,91,0,0,7,5,0,0,6.64,
4,Jonathan Woodgate45',DC,0,19,89,0,0,3,3,0,0,6.53,
5,George Friend,DL,2,45,80,5,1,6,4,0,0,6.63,
6,Albert Adomah,MR,3,29,86,10,2,2,0,0,0,6.25,
7,Jacob Butterfield,MC,1,39,90,2,0,2,2,0,0,6.7,
8,Dean Whitehead,MC,2,59,88,0,0,8,7,0,0,6.92,
9,Grant Leadbitter,MC,2,47,87,13,3,5,4,0,0,6.51,
10,Mustapha Carayol,ML,2,28,75,7,1,3,2,0,0,7.45,
11,Lukas Jutkiewicz73',FW,1,14,36,1,0,1,1,0,0,6.16,
12,Luke Williams89',Sub,0,1,100,0,0,0,0,0,0,6,
13,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
14,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
15,Ben Gibson45',Sub,0,16,94,0,0,1,1,0,0,6.23,
16,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,0,
17,Faris Haroun,Sub,0,0,0,0,0,0,0,0,0,0,
18,Curtis Main73',Sub,0,5,40,1,0,0,0,0,0,5.84,
