R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,1,14,50,0,0,10,3,0,0,6.75,
2,József Varga,DR,0,50,76,1,0,3,2,0,0,6.42,
3,Ben Gibson,DC,0,45,69,0,0,5,1,0,0,5.96,
4,Kenneth Omeruo,DC,0,47,60,0,0,5,1,0,0,8.41,
5,George Friend,DL,0,42,83,1,0,2,0,0,0,5.58,
6,Albert Adomah,MR,2,32,81,2,0,1,1,0,0,6.27,
7,Nathaniel Chalobah45',MC,0,35,74,0,0,3,1,0,0,5.87,
8,Dean Whitehead,MC,2,70,87,0,0,11,8,0,0,6.41,
9,Emmanuel Jorge Ledesma64',ML,0,26,81,1,0,5,5,0,0,6.38,
10,Luke Williams,FW,4,50,80,2,0,8,6,1,1,7.28,
11,Danny Graham,FW,0,13,92,0,0,0,0,0,0,5.64,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
13,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,0,
14,Daniel Ayala,Sub,0,0,0,0,0,0,0,0,0,0,
15,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,0,0,
16,Grant Leadbitter45',Sub,0,29,86,0,0,6,3,0,0,6.26,
17,Lee Tomlin64',Sub,1,14,71,0,0,2,1,0,0,6.32,
18,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,0,
