R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,16,19,0,0,12,2,0,0,6.48,
2,József Varga,DR,0,31,61,0,0,2,1,0,0,6.66,
3,Kenneth Omeruo,DC,0,35,54,0,0,11,4,0,0,7.66,
4,Ben Gibson,DC,0,26,58,0,0,7,1,0,0,6.55,
5,George Friend,DL,1,32,53,2,0,6,1,0,0,6.63,
6,Emmanuel Jorge Ledesma62',MR,2,12,50,5,1,3,2,0,0,6.61,
7,Nathaniel Chalobah,MC,2,33,64,0,0,4,1,0,0,6.61,
8,Grant Leadbitter,MC,3,27,70,4,1,4,2,0,0,7.4,
9,Mustapha Carayol83',ML,1,15,60,2,0,2,1,1,0,7.88,
10,Lee Tomlin36',AMC,0,14,86,0,0,0,0,0,0,5.95,
11,Danny Graham,FW,1,18,56,0,0,1,1,0,0,6.28,
12,Albert Adomah36',Sub,1,11,45,1,0,2,2,0,0,6.76,
13,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
14,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,0,
15,Luke Williams,Sub,0,0,0,0,0,0,0,0,0,0,
16,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,0,
17,Kei Kamara83',Sub,1,3,67,0,0,0,0,0,0,6.08,
18,Dean Whitehead62',Sub,0,12,75,0,0,2,1,0,0,6.13,
