R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,19,21,0,0,16,2,0,0,6.06,
2,Rhys Williams,DR,1,30,53,3,1,4,0,0,0,7.3,
3,Ben Gibson,DC,0,25,44,0,0,4,1,0,0,6.91,
4,Daniel Ayala,DC,0,27,52,0,0,8,2,0,0,6.92,
5,George Friend,DL,1,23,78,0,0,3,0,0,0,7.09,
6,Albert Adomah89',MR,1,22,64,7,1,1,0,0,0,6.27,
7,Grant Leadbitter,MC,1,42,86,6,1,5,4,0,0,7.41,
8,Richard Smallwood,MC,1,33,61,0,0,5,1,0,0,6.87,
9,Jacob Butterfield79',MC,0,30,67,0,0,5,3,0,0,6.74,
10,Mustapha Carayol67',ML,2,19,68,5,0,0,0,0,0,8,
11,Curtis Main,FW,1,23,78,0,0,1,1,0,0,7.76,
12,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
13,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,0,
14,Emmanuel Jorge Ledesma79',Sub,1,9,100,3,0,0,0,0,0,6.07,
15,Marvin Emnes89',Sub,0,2,50,0,0,0,0,0,0,5.9,
16,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,0,
17,Lukas Jutkiewicz67',Sub,2,14,50,0,0,0,0,0,0,5.84,
18,József Varga,Sub,0,0,0,0,0,0,0,0,0,0,
