R,Team,Fouls,Unprofessional,Dive,Other
1,Nottingham Forest,34,2,1,8
2,Leeds,32,1,1,2
3,Millwall,30,5,0,10
4,Reading,30,1,1,7
5,Sheffield Wednesday,29,7,1,6
6,Queens Park Rangers,29,0,0,2
7,Yeovil,29,0,2,6
8,Birmingham,26,3,0,5
9,Blackpool,25,2,2,7
10,Brighton,25,3,0,8
11,Doncaster,25,2,0,3
12,Bolton,24,1,0,6
13,Wigan,24,1,1,8
14,Blackburn,24,0,0,4
15,Watford,23,6,1,15
16,Huddersfield,23,0,1,6
17,Middlesbrough,21,3,1,12
18,Barnsley,20,3,0,7
19,Bournemouth,19,1,2,10
20,Leicester,19,1,0,3
21,Derby,18,0,0,2
22,Burnley,17,1,1,2
23,Charlton,17,4,1,6
24,Ipswich,14,1,0,8
