R,Team,Fouls,Unprofessional,Dive,Other
1,Blackpool,44,1,0,14
2,Watford,41,2,0,20
3,Derby,40,2,2,12
4,Sheffield Wednesday,37,6,2,10
5,Brighton,35,1,0,6
6,Nottingham Forest,35,0,0,15
7,Huddersfield,34,1,0,11
8,Birmingham,33,4,1,13
9,Middlesbrough,33,3,1,17
10,Yeovil,32,3,0,16
11,Millwall,32,0,1,17
12,Queens Park Rangers,30,3,0,4
13,Blackburn,29,5,1,16
14,Reading,28,2,2,11
15,Wigan,28,3,1,11
16,Bournemouth,27,1,0,12
17,Leeds,27,0,0,10
18,Doncaster,26,1,0,17
19,Bolton,25,3,0,14
20,Ipswich,25,3,0,5
21,Barnsley,24,1,1,17
22,Leicester,20,0,0,12
23,Charlton,19,2,3,10
24,Burnley,15,1,0,16
