R,Team,Fouls,Unprofessional,Dive,Other
1,Watford,40,2,0,8
2,Blackburn,39,2,1,7
3,Derby,38,0,0,10
4,Middlesbrough,37,2,0,9
5,Brighton,36,2,0,14
6,Millwall,35,4,0,9
7,Wolverhampton Wanderers,35,2,1,8
8,Cardiff,33,5,0,10
9,Wigan,33,6,1,10
10,Norwich,30,3,0,19
11,Leeds,29,4,0,14
12,Ipswich,29,2,0,7
13,Blackpool,28,2,1,13
14,Reading,27,3,2,17
15,Rotherham,27,1,0,10
16,Nottingham Forest,27,0,0,13
17,Huddersfield,27,1,0,10
18,Sheffield Wednesday,27,3,1,16
19,Birmingham,26,1,1,10
20,Fulham,25,2,1,9
21,Brentford,24,5,1,16
22,Bournemouth,24,1,2,16
23,Charlton,24,3,3,5
24,Bolton,23,0,1,16
