R,Team,Fouls,Unprofessional,Dive,Other
1,Nottingham Forest,35,4,0,10
2,Fulham,30,4,0,7
3,Ipswich,29,3,0,4
4,Preston,29,5,0,7
5,Cardiff,28,3,0,9
6,Brighton,28,2,0,11
7,Leeds,28,6,0,10
8,Rotherham,28,3,0,5
9,Huddersfield,28,3,0,5
10,Sheffield Wednesday,27,1,0,5
11,Charlton,25,4,0,12
12,Birmingham,25,2,0,8
13,Bolton,25,1,0,14
14,Brentford,24,3,0,8
15,Blackburn,23,6,0,11
16,Derby,22,6,0,6
17,Milton Keynes Dons,22,2,0,13
18,Queens Park Rangers,19,2,0,10
19,Bristol City,19,2,0,9
20,Middlesbrough,19,0,0,7
21,Burnley,19,0,0,4
22,Wolverhampton Wanderers,18,0,0,6
23,Hull,15,1,0,6
24,Reading,13,3,0,9
