Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Sat,2000-06-10,20:45 (19:45),Belgium be,2–1,se Sweden,46700,Stade Roi Baudouin,Markus Merk,Match Report,
Group stage,1,Sun,2000-06-11,14:30 (13:30),Turkey tr,1–2,it Italy,22500,GelreDome,Hugh Dallas,Match Report,
Group stage,1,Sun,2000-06-11,18:00 (17:00),France fr,3–0,dk Denmark,28100,Jan Breydelstadion,Günter Benkö,Match Report,
Group stage,1,Sun,2000-06-11,20:45 (19:45),Netherlands nl,1–0,cz Czech Republic,50800,Johan Cruyff ArenA,Pierluigi Collina,Match Report,
Group stage,1,Mon,2000-06-12,18:00 (17:00),Germany de,1–1,ro Romania,28500,Stade Maurice Dufrasne,Kim Milton Nielsen,Match Report,
Group stage,1,Mon,2000-06-12,20:45 (19:45),Portugal pt,3–2,eng England,31500,Philips Stadion,Anders Frisk,Match Report,
Group stage,1,Tue,2000-06-13,18:00 (17:00),Spain es,0–1,no Norway,41000,Stadion Feijenoord,Gamal Al Ghandour,Match Report,
Group stage,1,Tue,2000-06-13,20:45 (19:45),Serbia rs,3–3,si Slovenia,18500,Stade du Pays de Charleroi,Vítor Melo,Match Report,
,,,,,,,,,,,,
Group stage,2,Wed,2000-06-14,20:45 (19:45),Italy it,2–0,be Belgium,44500,Stade Roi Baudouin,José García Aranda,Match Report,
Group stage,2,Thu,2000-06-15,20:45 (19:45),Sweden se,0–0,tr Turkey,27000,Philips Stadion,Dick Jol,Match Report,
Group stage,2,Fri,2000-06-16,18:00 (17:00),Czech Republic cz,1–2,fr France,27243,Jan Breydelstadion,Graham Poll,Match Report,
Group stage,2,Fri,2000-06-16,20:45 (19:45),Denmark dk,0–3,nl Netherlands,51425,Stadion Feijenoord,Urs Meier,Match Report,
Group stage,2,Sat,2000-06-17,18:00 (17:00),Romania ro,0–1,pt Portugal,28400,GelreDome,Gilles Veissière,Match Report,
Group stage,2,Sat,2000-06-17,20:45 (19:45),England eng,1–0,de Germany,29000,Stade du Pays de Charleroi,Pierluigi Collina,Match Report,
Group stage,2,Sun,2000-06-18,18:00 (17:00),Slovenia si,1–2,es Spain,51300,Johan Cruyff ArenA,Markus Merk,Match Report,
Group stage,2,Sun,2000-06-18,20:45 (19:45),Norway no,0–1,rs Serbia,28750,Stade Maurice Dufrasne,Hugh Dallas,Match Report,
,,,,,,,,,,,,
Group stage,3,Mon,2000-06-19,20:45 (19:45),Italy it,2–1,se Sweden,30000,Philips Stadion,Vítor Melo,Match Report,
Group stage,3,Mon,2000-06-19,20:45 (19:45),Turkey tr,2–0,be Belgium,48000,Stade Roi Baudouin,Kim Milton Nielsen,Match Report,
Group stage,3,Tue,2000-06-20,20:45 (19:45),Portugal pt,3–0,de Germany,44000,Stadion Feijenoord,Dick Jol,Match Report,
Group stage,3,Tue,2000-06-20,20:45 (19:45),England eng,2–3,ro Romania,30000,Stade du Pays de Charleroi,Urs Meier,Match Report,
Group stage,3,Wed,2000-06-21,18:00 (17:00),Slovenia si,0–0,no Norway,21000,GelreDome,Graham Poll,Match Report,
Group stage,3,Wed,2000-06-21,18:00 (17:00),Serbia rs,3–4,es Spain,26611,Jan Breydelstadion,Gilles Veissière,Match Report,
Group stage,3,Wed,2000-06-21,20:45 (19:45),France fr,2–3,nl Netherlands,50000,Johan Cruyff ArenA,Anders Frisk,Match Report,
Group stage,3,Wed,2000-06-21,20:45 (19:45),Denmark dk,0–2,cz Czech Republic,20000,Stade Maurice Dufrasne,Gamal Al Ghandour,Match Report,
,,,,,,,,,,,,
Quarter-finals,,Sat,2000-06-24,18:00 (17:00),Turkey tr,0–2,pt Portugal,42000,Johan Cruyff ArenA,Dick Jol,Match Report,
Quarter-finals,,Sat,2000-06-24,20:45 (19:45),Italy it,2–0,ro Romania,41000,Stade Roi Baudouin,Vítor Melo,Match Report,
Quarter-finals,,Sun,2000-06-25,18:00 (17:00),Netherlands nl,6–1,rs Serbia,44000,Stadion Feijenoord,José García Aranda,Match Report,
Quarter-finals,,Sun,2000-06-25,20:45 (19:45),Spain es,1–2,fr France,26614,Jan Breydelstadion,Pierluigi Collina,Match Report,
Semi-finals,,Wed,2000-06-28,20:45 (19:45),France fr,2–1,pt Portugal,48000,Stade Roi Baudouin,Günter Benkö,Match Report,Required Extra Time
Semi-finals,,Thu,2000-06-29,18:00 (17:00),Italy it,(3) 0–0 (1),nl Netherlands,50000,Johan Cruyff ArenA,Markus Merk,Match Report,Italy won on penalty kicks following extra time
Final,,Sun,2000-07-02,20:00 (19:00),France fr,2–1,it Italy,50000,Stadion Feijenoord,Anders Frisk,Match Report,Required Extra Time
