Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Fri,2021-06-11,21:00 (20:00),Turkey tr,,it Italy,,Stadio Olimpico,,Head-to-Head,
Group stage,1,Sat,2021-06-12,17:00 (14:00),Wales wal,,ch Switzerland,,Bakı Olimpiya Stadionu,,Head-to-Head,
Group stage,1,Sat,2021-06-12,18:00 (17:00),Denmark dk,,fi Finland,,Telia Parken,,Head-to-Head,
Group stage,1,Sat,2021-06-12,22:00 (20:00),Belgium be,,ru Russia,,Gazprom Arena,,Head-to-Head,
Group stage,1,Sun,2021-06-13,14:00,England eng,,hr Croatia,,Wembley Stadium (old),,Head-to-Head,
Group stage,1,Sun,2021-06-13,19:00 (17:00),Austria at,,mk North Macedonia,,Arena Naţională,,Head-to-Head,
Group stage,1,Sun,2021-06-13,21:00 (20:00),Netherlands nl,,ua Ukraine,,Johan Cruyff ArenA,,Head-to-Head,
Group stage,1,Mon,2021-06-14,14:00,Scotland sco,,cz Czech Republic,,Hampden Park,,Head-to-Head,
Group stage,1,Mon,2021-06-14,17:00,Poland pl,,sk Slovakia,,Gazprom Arena,,Head-to-Head,
Group stage,1,Mon,2021-06-14,21:00 (20:00),Spain es,,se Sweden,,Estadio La Cartuja de Sevilla,,Head-to-Head,
Group stage,1,Tue,2021-06-15,18:00 (17:00),Hungary hu,,pt Portugal,,Puskás Aréna,,Head-to-Head,
Group stage,1,Tue,2021-06-15,21:00 (20:00),France fr,,de Germany,,Allianz Arena,,Head-to-Head,
,,,,,,,,,,,,
Group stage,2,Wed,2021-06-16,16:00 (14:00),Finland fi,,ru Russia,,Gazprom Arena,,Head-to-Head,
Group stage,2,Wed,2021-06-16,20:00 (17:00),Turkey tr,,wal Wales,,Bakı Olimpiya Stadionu,,Head-to-Head,
Group stage,2,Wed,2021-06-16,21:00 (20:00),Italy it,,ch Switzerland,,Stadio Olimpico,,Head-to-Head,
Group stage,2,Thu,2021-06-17,16:00 (14:00),Ukraine ua,,mk North Macedonia,,Arena Naţională,,Head-to-Head,
Group stage,2,Thu,2021-06-17,18:00 (17:00),Denmark dk,,be Belgium,,Telia Parken,,Head-to-Head,
Group stage,2,Thu,2021-06-17,21:00 (20:00),Netherlands nl,,at Austria,,Johan Cruyff ArenA,,Head-to-Head,
Group stage,2,Fri,2021-06-18,14:00,Sweden se,,sk Slovakia,,Gazprom Arena,,Head-to-Head,
Group stage,2,Fri,2021-06-18,17:00,Croatia hr,,cz Czech Republic,,Hampden Park,,Head-to-Head,
Group stage,2,Fri,2021-06-18,20:00,England eng,,sco Scotland,,Wembley Stadium,,Head-to-Head,
Group stage,2,Sat,2021-06-19,15:00 (14:00),Hungary hu,,fr France,,Puskás Aréna,,Head-to-Head,
Group stage,2,Sat,2021-06-19,18:00 (17:00),Portugal pt,,de Germany,,Allianz Arena,,Head-to-Head,
Group stage,2,Sat,2021-06-19,21:00 (20:00),Spain es,,pl Poland,,Estadio La Cartuja de Sevilla,,Head-to-Head,
,,,,,,,,,,,,
Group stage,3,Sun,2021-06-20,18:00 (17:00),Italy it,,wal Wales,,Stadio Olimpico,,Head-to-Head,
Group stage,3,Sun,2021-06-20,20:00 (17:00),Switzerland ch,,tr Turkey,,Bakı Olimpiya Stadionu,,Head-to-Head,
Group stage,3,Mon,2021-06-21,18:00 (17:00),North Macedonia mk,,nl Netherlands,,Johan Cruyff ArenA,,Head-to-Head,
Group stage,3,Mon,2021-06-21,19:00 (17:00),Ukraine ua,,at Austria,,Arena Naţională,,Head-to-Head,
Group stage,3,Mon,2021-06-21,21:00 (20:00),Russia ru,,dk Denmark,,Telia Parken,,Head-to-Head,
Group stage,3,Mon,2021-06-21,22:00 (20:00),Finland fi,,be Belgium,,Gazprom Arena,,Head-to-Head,
Group stage,3,Tue,2021-06-22,20:00,Croatia hr,,sco Scotland,,Hampden Park,,Head-to-Head,
Group stage,3,Tue,2021-06-22,20:00,Czech Republic cz,,eng England,,Wembley Stadium,,Head-to-Head,
Group stage,3,Wed,2021-06-23,17:00,Sweden se,,pl Poland,,Gazprom Arena,,Head-to-Head,
Group stage,3,Wed,2021-06-23,18:00 (17:00),Slovakia sk,,es Spain,,Estadio La Cartuja de Sevilla,,Head-to-Head,
Group stage,3,Wed,2021-06-23,21:00 (20:00),Germany de,,hu Hungary,,Allianz Arena,,Head-to-Head,
Group stage,3,Wed,2021-06-23,21:00 (20:00),Portugal pt,,fr France,,Puskás Aréna,,Head-to-Head,
