Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Fri,2016-06-10,21:00 (20:00),France fr,2–1,ro Romania,75113,Stade de France,Viktor Kassai,Match Report,
Group stage,1,Sat,2016-06-11,15:00 (14:00),Albania al,0–1,ch Switzerland,33805,Stade Bollaert-Delelis,Carlos Velasco,Match Report,
Group stage,1,Sat,2016-06-11,18:00 (17:00),Wales wal,2–1,sk Slovakia,37831,Stade Matmut-Atlantique,Svein Oddvar Moen,Match Report,
Group stage,1,Sat,2016-06-11,21:00 (20:00),England eng,1–1,ru Russia,62343,Orange Vélodrome,Nicola Rizzoli,Match Report,
Group stage,1,Sun,2016-06-12,15:00 (14:00),Turkey tr,0–1,hr Croatia,43842,Parc des Princes,Jonas Eriksson,Match Report,
Group stage,1,Sun,2016-06-12,18:00 (17:00),Poland pl,1–0,nir Northern Ireland,33742,Stade de Nice,Ovidiu Hațegan,Match Report,
Group stage,1,Sun,2016-06-12,21:00 (20:00),Germany de,2–0,ua Ukraine,43035,Stade Pierre-Mauroy,Martin Atkinson,Match Report,
Group stage,1,Mon,2016-06-13,15:00 (14:00),Spain es,1–0,cz Czech Republic,29400,Stadium Municipal,Szymon Marciniak,Match Report,
Group stage,1,Mon,2016-06-13,18:00 (17:00),Republic of Ireland ie,1–1,se Sweden,73419,Stade de France,Milorad Mažić,Match Report,
Group stage,1,Mon,2016-06-13,21:00 (20:00),Belgium be,0–2,it Italy,55408,Groupama Stadium,Mark Clattenburg,Match Report,
Group stage,1,Tue,2016-06-14,18:00 (17:00),Austria at,0–2,hu Hungary,34424,Stade Matmut-Atlantique,Clément Turpin,Match Report,
Group stage,1,Tue,2016-06-14,21:00 (20:00),Portugal pt,1–1,is Iceland,38742,Stade Geoffroy-Guichard,Cüneyt Çakιr,Match Report,
,,,,,,,,,,,,
Group stage,2,Wed,2016-06-15,15:00 (14:00),Russia ru,1–2,sk Slovakia,38989,Stade Pierre-Mauroy,Damir Skomina,Match Report,
Group stage,2,Wed,2016-06-15,18:00 (17:00),Romania ro,1–1,ch Switzerland,43576,Parc des Princes,Sergey Karasev,Match Report,
Group stage,2,Wed,2016-06-15,21:00 (20:00),France fr,2–0,al Albania,63670,Orange Vélodrome,William Collum,Match Report,
Group stage,2,Thu,2016-06-16,15:00 (14:00),England eng,2–1,wal Wales,34033,Stade Bollaert-Delelis,Felix Brych,Match Report,
Group stage,2,Thu,2016-06-16,18:00 (17:00),Ukraine ua,0–2,nir Northern Ireland,51043,Groupama Stadium,Pavel Královec,Match Report,
Group stage,2,Thu,2016-06-16,21:00 (20:00),Germany de,0–0,pl Poland,73648,Stade de France,Björn Kuipers,Match Report,
Group stage,2,Fri,2016-06-17,15:00 (14:00),Italy it,1–0,se Sweden,29600,Stadium Municipal,Viktor Kassai,Match Report,
Group stage,2,Fri,2016-06-17,18:00 (17:00),Czech Republic cz,2–2,hr Croatia,38376,Stade Geoffroy-Guichard,Mark Clattenburg,Match Report,
Group stage,2,Fri,2016-06-17,21:00 (20:00),Spain es,3–0,tr Turkey,33409,Stade de Nice,Milorad Mažić,Match Report,
Group stage,2,Sat,2016-06-18,15:00 (14:00),Belgium be,3–0,ie Republic of Ireland,39493,Stade Matmut-Atlantique,Cüneyt Çakιr,Match Report,
Group stage,2,Sat,2016-06-18,18:00 (17:00),Iceland is,1–1,hu Hungary,60842,Orange Vélodrome,Sergey Karasev,Match Report,
Group stage,2,Sat,2016-06-18,21:00 (20:00),Portugal pt,0–0,at Austria,44291,Parc des Princes,Nicola Rizzoli,Match Report,
,,,,,,,,,,,,
Group stage,3,Sun,2016-06-19,21:00 (20:00),Switzerland ch,0–0,fr France,45616,Stade Pierre-Mauroy,Damir Skomina,Match Report,
Group stage,3,Sun,2016-06-19,21:00 (20:00),Romania ro,0–1,al Albania,49752,Groupama Stadium,Pavel Královec,Match Report,
Group stage,3,Mon,2016-06-20,21:00 (20:00),Russia ru,0–3,wal Wales,28840,Stadium Municipal,Jonas Eriksson,Match Report,
