Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Sat,2008-06-07,18:00 (17:00),Switzerland ch,0–1,cz Czech Republic,39730,St. Jakob-Park,Roberto Rosetti,Match Report,
Group stage,1,Sat,2008-06-07,20:45 (19:45),Portugal pt,2–0,tr Turkey,29106,Stade de Genève,Herbert Fandel,Match Report,
Group stage,1,Sun,2008-06-08,18:00 (17:00),Austria at,0–1,hr Croatia,51428,Ernst-Happel-Stadion,Pieter Vink,Match Report,
Group stage,1,Sun,2008-06-08,20:45 (19:45),Germany de,2–0,pl Poland,30000,Wörthersee Stadion,Tom Henning Øvrebø,Match Report,
Group stage,1,Mon,2008-06-09,18:00 (17:00),Romania ro,0–0,fr France,30585,Stadion Letzigrund,Manuel Mejuto,Match Report,
Group stage,1,Mon,2008-06-09,20:45 (19:45),Netherlands nl,3–0,it Italy,30777,Stade de Suisse Wankdorf Bern,Peter Frojdfeldt,Match Report,
Group stage,1,Tue,2008-06-10,18:00 (17:00),Spain es,4–1,ru Russia,30772,Tivoli Stadion Tirol,Konrad Plautz,Match Report,
Group stage,1,Tue,2008-06-10,20:45 (19:45),Greece gr,0–2,se Sweden,31063,Red Bull Arena,Massimo Busacca,Match Report,
,,,,,,,,,,,,
Group stage,2,Wed,2008-06-11,18:00 (17:00),Czech Republic cz,1–3,pt Portugal,29016,Stade de Genève,Kyros Vassaras,Match Report,
Group stage,2,Wed,2008-06-11,20:45 (19:45),Switzerland ch,1–2,tr Turkey,39730,St. Jakob-Park,Ľuboš Micheľ,Match Report,
Group stage,2,Thu,2008-06-12,18:00 (17:00),Croatia hr,2–1,de Germany,30461,Wörthersee Stadion,Frank De Bleeckere,Match Report,
Group stage,2,Thu,2008-06-12,20:45 (19:45),Austria at,1–1,pl Poland,51428,Ernst-Happel-Stadion,Howard Webb,Match Report,
Group stage,2,Fri,2008-06-13,18:00 (17:00),Italy it,1–1,ro Romania,30585,Stadion Letzigrund,Tom Henning Øvrebø,Match Report,
Group stage,2,Fri,2008-06-13,20:45 (19:45),Netherlands nl,4–1,fr France,30777,Stade de Suisse Wankdorf Bern,Herbert Fandel,Match Report,
Group stage,2,Sat,2008-06-14,18:00 (17:00),Sweden se,1–2,es Spain,30772,Tivoli Stadion Tirol,Pieter Vink,Match Report,
Group stage,2,Sat,2008-06-14,20:45 (19:45),Greece gr,0–1,ru Russia,31063,Red Bull Arena,Roberto Rosetti,Match Report,
,,,,,,,,,,,,
Group stage,3,Sun,2008-06-15,20:45 (19:45),Switzerland ch,2–0,pt Portugal,39730,St. Jakob-Park,Konrad Plautz,Match Report,
Group stage,3,Sun,2008-06-15,20:45 (19:45),Turkey tr,3–2,cz Czech Republic,29016,Stade de Genève,Peter Frojdfeldt,Match Report,
Group stage,3,Mon,2008-06-16,20:45 (19:45),Poland pl,0–1,hr Croatia,30461,Wörthersee Stadion,Kyros Vassaras,Match Report,
Group stage,3,Mon,2008-06-16,20:45 (19:45),Austria at,0–1,de Germany,51428,Ernst-Happel-Stadion,Manuel Mejuto,Match Report,
Group stage,3,Tue,2008-06-17,20:45 (19:45),Netherlands nl,2–0,ro Romania,30777,Stade de Suisse Wankdorf Bern,Massimo Busacca,Match Report,
Group stage,3,Tue,2008-06-17,20:45 (19:45),France fr,0–2,it Italy,30585,Stadion Letzigrund,Ľuboš Micheľ,Match Report,
Group stage,3,Wed,2008-06-18,20:45 (19:45),Greece gr,1–2,es Spain,30883,Red Bull Arena,Howard Webb,Match Report,
Group stage,3,Wed,2008-06-18,20:45 (19:45),Russia ru,2–0,se Sweden,30772,Tivoli Stadion Tirol,Frank De Bleeckere,Match Report,
,,,,,,,,,,,,
Quarter-finals,,Thu,2008-06-19,20:45 (19:45),Portugal pt,2–3,de Germany,39374,St. Jakob-Park,Peter Frojdfeldt,Match Report,
Quarter-finals,,Fri,2008-06-20,20:45 (19:45),Croatia hr,(1) 1–1 (3),tr Turkey,51428,Ernst-Happel-Stadion,Roberto Rosetti,Match Report,Turkey won on penalty kicks following extra time
Quarter-finals,,Sat,2008-06-21,20:45 (19:45),Netherlands nl,1–3,ru Russia,38374,St. Jakob-Park,Ľuboš Micheľ,Match Report,Required Extra Time
Quarter-finals,,Sun,2008-06-22,20:45 (19:45),Spain es,(4) 0–0 (2),it Italy,51178,Ernst-Happel-Stadion,Herbert Fandel,Match Report,Spain won on penalty kicks following extra time
Semi-finals,,Wed,2008-06-25,20:45 (19:45),Germany de,3–2,tr Turkey,39374,St. Jakob-Park,Massimo Busacca,Match Report,
Semi-finals,,Thu,2008-06-26,20:45 (19:45),Russia ru,0–3,es Spain,51428,Ernst-Happel-Stadion,Frank De Bleeckere,Match Report,
Final,,Sun,2008-06-29,20:45 (19:45),Germany de,0–1,es Spain,51428,Ernst-Happel-Stadion,Roberto Rosetti,Match Report,
