Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Fri,2012-06-08,18:00 (17:00),Poland pl,1–1,gr Greece,56070,Stadion Narodowy,Carlos Velasco,Match Report,
Group stage,1,Fri,2012-06-08,20:45 (19:45),Russia ru,4–1,cz Czech Republic,40803,Stadion Miejski,Howard Webb,Match Report,
Group stage,1,Sat,2012-06-09,19:00 (17:00),Netherlands nl,0–1,dk Denmark,35923,Oblasny SportKomplex Metalist,Damir Skomina,Match Report,
Group stage,1,Sat,2012-06-09,21:45 (19:45),Germany de,1–0,pt Portugal,32990,L'viv Arena,Stéphane Lannoy,Match Report,
Group stage,1,Sun,2012-06-10,18:00 (17:00),Spain es,1–1,it Italy,38869,Stadion Energa Gdańsk,Viktor Kassai,Match Report,
Group stage,1,Sun,2012-06-10,20:45 (19:45),Republic of Ireland ie,1–3,hr Croatia,39550,INEA stadion,Björn Kuipers,Match Report,
Group stage,1,Mon,2012-06-11,19:00 (17:00),France fr,1–1,eng England,47400,Donbass Arena,Nicola Rizzoli,Match Report,
Group stage,1,Mon,2012-06-11,21:45 (19:45),Ukraine ua,2–1,se Sweden,64290,NSK Olimpijs'kyj,Cüneyt Çakιr,Match Report,
,,,,,,,,,,,,
Group stage,2,Tue,2012-06-12,18:00 (17:00),Greece gr,1–2,cz Czech Republic,41105,Stadion Miejski,Stéphane Lannoy,Match Report,
Group stage,2,Tue,2012-06-12,20:45 (19:45),Poland pl,1–1,ru Russia,55920,Stadion Narodowy,Wolfgang Stark,Match Report,
Group stage,2,Wed,2012-06-13,19:00 (17:00),Denmark dk,2–3,pt Portugal,31840,L'viv Arena,Craig Thomson,Match Report,
Group stage,2,Wed,2012-06-13,21:45 (19:45),Netherlands nl,1–2,de Germany,37750,Oblasny SportKomplex Metalist,Jonas Eriksson,Match Report,
Group stage,2,Thu,2012-06-14,18:00 (17:00),Italy it,1–1,hr Croatia,37096,INEA stadion,Howard Webb,Match Report,
Group stage,2,Thu,2012-06-14,20:45 (19:45),Spain es,4–0,ie Republic of Ireland,39150,Stadion Energa Gdańsk,Pedro Proença,Match Report,
Group stage,2,Fri,2012-06-15,19:00 (17:00),Ukraine ua,0–2,fr France,48000,Donbass Arena,Björn Kuipers,Match Report,
Group stage,2,Fri,2012-06-15,22:00 (20:00),Sweden se,2–3,eng England,64640,Donbass Arena,Damir Skomina,Match Report,
,,,,,,,,,,,,
Group stage,3,Sat,2012-06-16,20:45 (19:45),Greece gr,1–0,ru Russia,55614,Stadion Narodowy,Jonas Eriksson,Match Report,
Group stage,3,Sat,2012-06-16,20:45 (19:45),Czech Republic cz,1–0,pl Poland,41480,Stadion Miejski,Craig Thomson,Match Report,
Group stage,3,Sun,2012-06-17,21:45 (19:45),Denmark dk,1–2,de Germany,32990,L'viv Arena,Carlos Velasco,Match Report,
Group stage,3,Sun,2012-06-17,21:45 (19:45),Portugal pt,2–1,nl Netherlands,37445,Oblasny SportKomplex Metalist,Nicola Rizzoli,Match Report,
Group stage,3,Mon,2012-06-18,20:45 (19:45),Italy it,2–0,ie Republic of Ireland,38794,INEA stadion,Cüneyt Çakιr,Match Report,
Group stage,3,Mon,2012-06-18,20:45 (19:45),Croatia hr,0–1,es Spain,39076,Stadion Energa Gdańsk,Wolfgang Stark,Match Report,
Group stage,3,Tue,2012-06-19,21:45 (19:45),Sweden se,2–0,fr France,63010,NSK Olimpijs'kyj,Pedro Proença,Match Report,
Group stage,3,Tue,2012-06-19,21:45 (19:45),England eng,1–0,ua Ukraine,48700,Donbass Arena,Viktor Kassai,Match Report,
,,,,,,,,,,,,
Quarter-finals,,Thu,2012-06-21,20:45 (19:45),Czech Republic cz,0–1,pt Portugal,55590,Stadion Narodowy,Howard Webb,Match Report,
Quarter-finals,,Fri,2012-06-22,20:45 (19:45),Germany de,4–2,gr Greece,38751,Stadion Energa Gdańsk,Damir Skomina,Match Report,
Quarter-finals,,Sat,2012-06-23,21:45 (19:45),Spain es,2–0,fr France,47000,Donbass Arena,Nicola Rizzoli,Match Report,
Quarter-finals,,Sun,2012-06-24,21:45 (19:45),England eng,(2) 0–0 (4),it Italy,64340,NSK Olimpijs'kyj,Pedro Proença,Match Report,Italy won on penalty kicks following extra time
Semi-finals,,Wed,2012-06-27,21:45 (19:45),Portugal pt,(2) 0–0 (4),es Spain,48000,Donbass Arena,Cüneyt Çakιr,Match Report,Spain won on penalty kicks following extra time
Semi-finals,,Thu,2012-06-28,20:45 (19:45),Germany de,1–2,it Italy,55540,Stadion Narodowy,Stéphane Lannoy,Match Report,
Final,,Sun,2012-07-01,21:45 (19:45),Spain es,4–0,it Italy,63170,NSK Olimpijs'kyj,Pedro Proença,Match Report,
