L,EFC,04/01/2014,,Middlesbrough,00:02,Hull,,
,,,,,10',Aaron McLean,,
,,,,,61',Nick Proschwitz,,
L,ICF,16/07/2014,,Lucena,01:00,Middlesbrough,,
,,,,Ezequiel Lopez,38',,,
W,ICF,19/07/2014,,Linense,00:04,Middlesbrough,,
,,,,,29',Lee Tomlin(Pen.),,
,,,,,54',Bradley Fewster,,
,,,,,85',Luke Williams,,
,,,,,88',Grant Leadbitter,,
W,ICF,21/07/2014,,Atletico,00:05,Middlesbrough,,
,,,,,8',Kike,,
,,,,,14',George Friend,,
,,,,,15',Kike,,
,,,,,74',Bradley Fewster(Pen.),,
,,,,,84',Bradley Fewster,,
W,ICF,26/07/2014,,Rochdale,01:03,Middlesbrough,,
,,,,,5',Adam Reach,,
,,,,,15',Kike(Pen.),,
,,,,Ian Henderson,42',,,
,,,,,45',Lee Tomlin(Pen.),,
W,ICF,30/07/2014,,Hartlepool,00:02,Middlesbrough,,
,,,,,51',Adam Reach,,
,,,,,70',Bradley Fewster,,
L,ICF,02/08/2014,,Middlesbrough,00:02,Villarreal,,
,,,,,23',Gerard Moreno,,
,,,,,45',Nahuel Leiva,,
W,EC,09/08/2014,,Middlesbrough,02:00,Birmingham,Match Report,
,,,,Daniel Ayala,33',,,
,,,,Kike,66',,,
W,ECC,12/08/2014,,Oldham,00:03,Middlesbrough,,
,,,,,30',Luke Williams,,
,,,,,48',Grant Leadbitter,,
,,,,,60',Kike,,
L,EC,16/08/2014,,Leeds,01:00,Middlesbrough,Match Report,
,,,,Billy Sharp,88',,,
W,EC,19/08/2014,,Bolton,01:02,Middlesbrough,Match Report,
,,,,(Pen.)Craig Davies,27',,,
,,,,,45',Grant Leadbitter(Pen.),,
,,,,,78',Kike,,
L,EC,23/08/2014,,Middlesbrough,02:03,Sheffield Wednesday,Match Report,
,,,,,6',Atdhe Nuhiu,,
,,,,,42',Stevie May,,
,,,,,57',Atdhe Nuhiu,,
,,,,(Pen.)Grant Leadbitter,72',,,
,,,,(Pen.)Grant Leadbitter,91',,,
W,ECC,26/08/2014,,Middlesbrough,03:01,Preston,,
,,,,Lee Tomlin,51',,,
,,,,,54',Jordan Hugill,,
,,,,Bradley Fewster,57',,,
,,,,Lee Tomlin,66',,,
L,EC,30/08/2014,,Middlesbrough,00:01,Reading,Match Report,
,,,,,7',Simon Cox,,
W,EC,13/09/2014,,Huddersfield,01:02,Middlesbrough,Match Report,
,,,,,36',Grant Leadbitter,,
,,,,Jon Stead,86',,,
,,,,,92',Grant Leadbitter(Pen.),,
W,EC,16/09/2014,,Cardiff,00:01,Middlesbrough,Match Report,
,,,,,2',Kike,,
W,EC,20/09/2014,,1Middlesbrough,04:00,Brentford,Match Report,
,,,,Grant Leadbitter,35',,,
,,,,Albert Adomah,50',,,
,,,,Patrick Bamford,68',,,
,,,,Dean Whitehead,83',,,
,,,,Kike,89',,,
L,ECC,23/09/2014,,Liverpool,*2 : 2,Middlesbrough,Match Report,
,,,,Jordan Rossiter,10',,,
,,,,,62',Adam Reach,,
,,,,Suso,109',,,
,,,,,123',Patrick Bamford(Pen.),,
D,EC,27/09/2014,,Charlton,00:00,Middlesbrough1,Match Report,
,,,,,82',Albert Adomah,,
D,EC,30/09/2014,,Middlesbrough,01:01,Blackpool,Match Report,
,,,,Daniel Ayala,19',,,
,,,,,25',Ishmael Miller,,
W,EC,04/10/2014,,Middlesbrough,02:00,Fulham,Match Report,
,,,,Adam Reach,46',,,
,,,,Albert Adomah,82',,,
W,EC,18/10/2014,,Brighton,01:02,Middlesbrough,Match Report,
,,,,,8',Lee Tomlin,,
,,,,,53',Albert Adomah,,
,,,,Gordon Greer,88',,,
L,EC,21/10/2014,,Wolverhampton Wanderers,02:00,Middlesbrough,Match Report,
,,,,(Pen.)Bakary Sako,33',,,
,,,,Nouha Dicko,73',,,
D,EC,25/10/2014,,Middlesbrough,01:01,Watford,Match Report,
,,,,Kike,49',,,
,,,,,61',Troy Deeney,,
W,EC,01/11/2014,,1Rotherham,00:03,Middlesbrough,Match Report,
,,,,,8',Patrick Bamford,,
,,,,,19',Yanic Wildschut,,
,,,,Jordan Bowery,30',,,
,,,,,87',Lee Tomlin,,
W,EC,04/11/2014,,Middlesbrough,04:00,Norwich,Match Report,
,,,,Patrick Bamford,5',,,
,,,,(Pen.)Grant Leadbitter,33',,,
,,,,Grant Leadbitter,69',,,
,,,,Yanic Wildschut,85',,,
D,EC,08/11/2014,,Middlesbrough,00:00,Bournemouth,,
D,EC,22/11/2014,,Wigan,01:01,Middlesbrough,Match Report,
,,,,Shaun Maloney,24',,,
,,,,,58',Patrick Bamford,,
D,EC,29/11/2014,,Middlesbrough,01:01,Blackburn,Match Report,
,,,,Patrick Bamford,83',,,
,,,,,95',Rudy Gestede,,
W,EC,06/12/2014,,Millwall,01:05,Middlesbrough,Match Report,
,,,,,21',Jelle Vossen,,
,,,,,28',Patrick Bamford,,
,,,,,34',Jelle Vossen,,
,,,,,44',Jelle Vossen,,
,,,,Scott McDonald,78',,,
,,,,,79',Kike,,
W,EC,13/12/2014,,Middlesbrough,02:00,Derby1,Match Report,
,,,,Patrick Bamford,6',,,
,,,,,62',Ryan Shotton,,
,,,,(Pen.)Grant Leadbitter,63',,,
L,EC,20/12/2014,,Ipswich,02:00,Middlesbrough,Match Report,
,,,,Daryl Murphy,25',,,
,,,,Jay Tabb,45',,,
W,EC,26/12/2014,,Middlesbrough,03:00,Nottingham Forest1,Match Report,
,,,,George Friend,53',,,
,,,,,67',Kelvin Wilson,,
,,,,Jelle Vossen,79',,,
,,,,(Pen.)Grant Leadbitter,88',,,
D,EC,28/12/2014,,Blackburn,00:00,Middlesbrough,Match Report,
W,EFC,03/01/2015,,Barnsley,00:02,Middlesbrough1,,
,,,,,47',Jelle Vossen,,
,,,,,76',Adam Clayton,,
,,,,,84',Daniel Ayala,,
D,EC,10/01/2015,,Reading,00:00,Middlesbrough,Match Report,
W,EC,17/01/2015,,Middlesbrough,02:00,Huddersfield,Match Report,
,,,,Lee Tomlin,61',,,
,,,,Lee Tomlin,94',,,
W,EC,20/01/2015,,Middlesbrough,02:01,Cardiff,Match Report,
,,,,Patrick Bamford,63',,,
,,,,Lee Tomlin,79',,,
,,,,,86',Kenwyne Jones,,
W,EFC,24/01/2015,,Manchester City,00:02,Middlesbrough,,
,,,,,52',Patrick Bamford,,
,,,,,90',Kike,,
W,EC,31/01/2015,,Brentford,00:01,Middlesbrough,Match Report,
,,,,,44',Grant Leadbitter(Pen.),,
W,EC,07/02/2015,,Middlesbrough,03:01,Charlton,Match Report,
,,,,Patrick Bamford,6',,,
,,,,,37',Johann Berg Gudmundsson,,
,,,,Jelle Vossen,48',,,
,,,,Lee Tomlin,88',,,
,,,,,,,,
W,EC,10/02/2015,,Blackpool,01:02,Middlesbrough,Match Report,
,,,,,81',Jonathan Woodgate,,
,,,,(OG)Ben Gibson,85',,,
,,,,,88',Kike,,
L,EFC,15/02/2015,,Arsenal,02:00,Middlesbrough,Match Report,
,,,,Olivier Giroud,27',,,
,,,,Olivier Giroud,29',,,
D,EC,18/02/2015,,Birmingham,01:01,Middlesbrough1,Match Report,
,,,,,43',Dimitrios Konstantopoulos,,
,,,,(Pen.)Paul Caddis,45',,,
,,,,,74',Patrick Bamford,,
L,EC,21/02/2015,,Middlesbrough,00:01,Leeds,Match Report,
,,,,,3',Alex Mowatt,,
W,EC,24/02/2015,,Middlesbrough,01:00,Bolton,Match Report,
,,,,Albert Adomah,34',,,
L,EC,28/02/2015,,Sheffield Wednesday,02:00,Middlesbrough,Match Report,
,,,,(Pen.)Atdhe Nuhiu,52',,,
,,,,Will Keane,54',,,
W,EC,03/03/2015,,Middlesbrough,03:00,Millwall,Match Report,
,,,,Patrick Bamford,26',,,
,,,,Kike,30',,,
,,,,Jelle Vossen,78',,,
L,EC,07/03/2015,,Nottingham Forest,02:01,Middlesbrough,Match Report,
,,,,,27',Grant Leadbitter,,
,,,,Gary Gardner,34',,,
,,,,Dexter Blackstock,65',,,
W,EC,14/03/2015,,Middlesbrough,04:01,Ipswich,Match Report,
,,,,Daniel Ayala,4',,,
,,,,,11',Daryl Murphy,,
,,,,Albert Adomah,30',,,
,,,,Patrick Bamford,64',,,
,,,,Patrick Bamford,79',,,
W,EC,17/03/2015,,Derby,00:01,Middlesbrough,Match Report,
,,,,,64',Patrick Bamford,,
L,EC,21/03/2015,,Bournemouth,03:00,Middlesbrough,Match Report,
,,,,(Pen.)Yann Kermorgant,12',,,
,,,,Harry Arter,48',,,
,,,,(Pen.)Brett Pitman,74',,,
W,EC,03/04/2015,,Middlesbrough,01:00,Wigan,Match Report,
,,,,Patrick Bamford,20',,,
L,EC,06/04/2015,,Watford,02:00,Middlesbrough,Match Report,
,,,,Troy Deeney,37',,,
,,,,Odion Ighalo,65',,,
W,EC,11/04/2015,,Middlesbrough,02:00,Rotherham,Match Report,
,,,,Lee Tomlin,50',,,
,,,,Patrick Bamford,66',,,
W,EC,14/04/2015,,Middlesbrough,02:01,Wolverhampton Wanderers,Match Report,
,,,,Jelle Vossen,3',,,
,,,,Patrick Bamford,11',,,
,,,,,53',Bakary Sako,,
W,EC,17/04/2015,,Norwich,00:01,Middlesbrough,Match Report,
,,,,,8',Alexander Tettey(OG),,
L,EC,25/04/2015,,Fulham,04:03,Middlesbrough1,Match Report,
,,,,Michael Turner,45',,,
,,,,(Pen.)Ross McCormack,55',,,
,,,,,63',Adam Reach,,
,,,,,66',George Friend,,
,,,,(Pen.)Ross McCormack,67',,,
,,,,,73',Daniel Ayala,,
