R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Reading,46,31,13,2,99,32,106,23,19,3,1,58,14,60,23,12,10,1,41,18,46
2,Sheffield United,46,26,12,8,76,46,90,23,15,5,3,43,22,50,23,11,7,5,33,24,40
3,Watford,46,22,15,9,77,53,81,23,11,7,5,39,24,40,23,11,8,4,38,29,41
4,Preston,46,20,20,6,59,30,80,23,11,10,2,31,12,43,23,9,10,4,28,18,37
5,Leeds,46,21,15,10,57,38,78,23,13,7,3,35,18,46,23,8,8,7,22,20,32
6,Crystal Palace,46,21,12,13,67,48,75,23,13,6,4,39,20,45,23,8,6,9,28,28,30
7,Wolverhampton Wanderers,46,16,19,11,50,42,67,23,9,10,4,24,18,37,23,7,9,7,26,24,30
8,Coventry,46,16,15,15,62,65,63,23,12,7,4,39,22,43,23,4,8,11,23,43,20
9,Norwich,46,18,8,20,56,65,62,23,12,4,7,34,25,40,23,6,4,13,22,40,22
10,Luton,46,17,10,19,66,67,61,23,11,6,6,45,31,39,23,6,4,13,21,36,22
11,Cardiff,46,16,12,18,58,59,60,23,10,7,6,32,24,37,23,6,5,12,26,35,23
12,Southampton,46,13,19,14,49,50,58,23,9,10,4,26,17,37,23,4,9,10,23,33,21
13,Stoke,46,17,7,22,54,63,58,23,7,5,11,24,32,26,23,10,2,11,30,31,32
14,Plymouth,46,13,17,16,39,46,56,23,10,7,6,26,22,37,23,3,10,10,13,24,19
15,Ipswich,46,14,14,18,53,66,56,23,8,8,7,28,32,32,23,6,6,11,25,34,24
16,Leicester,46,13,15,18,51,59,54,23,8,9,6,30,25,33,23,5,6,12,21,34,21
17,Burnley,46,14,12,20,46,54,54,23,11,6,6,34,22,39,23,3,6,14,12,32,15
18,Hull,46,12,16,18,49,55,52,23,8,8,7,24,21,32,23,4,8,11,25,34,20
19,Sheffield Wednesday,46,13,13,20,39,52,52,23,7,8,8,22,24,29,23,6,5,12,17,28,23
20,Derby,46,10,20,16,53,67,50,23,8,10,5,33,27,34,23,2,10,11,20,40,16
21,Queens Park Rangers,46,12,14,20,50,65,50,23,7,7,9,24,26,28,23,5,7,11,26,39,22
22,Crewe,46,9,15,22,57,86,42,23,7,7,9,38,40,28,23,2,8,13,19,46,14
23,Millwall,46,8,16,22,35,62,40,23,4,8,11,13,27,20,23,4,8,11,22,35,20
24,Brighton,46,7,17,22,39,71,38,23,4,8,11,21,34,20,23,3,9,11,18,37,18
