R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Norwich,46,28,10,8,79,39,94,23,18,3,2,44,15,57,23,10,7,6,35,24,37
2,West Bromwich Albion,46,25,11,10,64,42,86,23,14,5,4,34,16,47,23,11,6,6,30,26,39
3,Sunderland,46,22,13,11,62,45,79,23,13,8,2,33,15,47,23,9,5,9,29,30,32
4,West Ham,46,19,17,10,67,45,74,23,12,7,4,42,20,43,23,7,10,6,25,25,31
5,Ipswich,46,21,10,15,84,72,73,23,12,3,8,49,36,39,23,9,7,7,35,36,34
6,Crystal Palace,46,21,10,15,72,61,73,23,10,8,5,34,25,38,23,11,2,10,38,36,35
7,Wigan,46,18,17,11,60,45,71,23,11,8,4,29,16,41,23,7,9,7,31,29,30
8,Sheffield United,46,20,11,15,65,56,71,23,11,6,6,37,25,39,23,9,5,9,28,31,32
9,Reading,46,20,10,16,55,57,70,23,11,6,6,29,25,39,23,9,4,10,26,32,31
10,Millwall,46,18,15,13,55,48,69,23,11,8,4,28,15,41,23,7,7,9,27,33,28
11,Stoke,46,18,12,16,58,55,66,23,11,7,5,35,24,40,23,7,5,11,23,31,26
12,Coventry,46,17,14,15,67,54,65,23,9,9,5,34,22,36,23,8,5,10,33,32,29
13,Cardiff,46,17,14,15,68,58,65,23,10,6,7,40,25,36,23,7,8,8,28,33,29
14,Nottingham Forest,46,15,15,16,61,58,60,23,8,9,6,33,25,33,23,7,6,10,28,33,27
15,Preston,46,15,14,17,69,71,59,23,11,7,5,43,29,40,23,4,7,12,26,42,19
16,Watford,46,15,12,19,54,68,57,23,9,8,6,31,28,35,23,6,4,13,23,40,22
17,Rotherham,46,13,15,18,53,61,54,23,8,8,7,31,27,32,23,5,7,11,22,34,22
18,Crewe,46,14,11,21,57,66,53,23,11,3,9,33,26,36,23,3,8,12,24,40,17
19,Burnley,46,13,14,19,60,77,53,23,9,6,8,37,32,33,23,4,8,11,23,45,20
20,Derby,46,13,13,20,53,67,52,23,11,5,7,39,33,38,23,2,8,13,14,34,14
21,Gillingham,46,14,9,23,48,67,51,23,10,1,12,28,34,31,23,4,8,11,20,33,20
22,Walsall,46,13,12,21,45,65,51,23,8,7,8,29,31,31,23,5,5,13,16,34,20
23,Bradford,46,10,6,30,38,69,36,23,6,3,14,23,35,21,23,4,3,16,15,34,15
24,Milton Keynes Dons,46,8,5,33,41,89,29,23,3,4,16,21,40,13,23,5,1,17,20,49,16
