R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Wolverhampton Wanderers,46,27,9,10,80,52,90,23,15,5,3,44,21,50,23,12,4,7,36,31,40
2,Birmingham,46,23,14,9,54,37,83,23,14,5,4,30,17,47,23,9,9,5,24,20,36
3,Sheffield United,46,22,14,10,64,39,80,23,12,6,5,35,22,42,23,10,8,5,29,17,38
4,Reading,46,21,14,11,72,40,77,23,12,5,6,40,17,41,23,9,9,5,32,23,36
5,Burnley,46,21,13,12,72,60,76,23,14,5,4,42,23,47,23,7,8,8,30,37,29
6,Preston,46,21,11,14,66,54,74,23,16,3,4,39,20,51,23,5,8,10,27,34,23
7,Cardiff,46,19,17,10,65,53,74,23,14,5,4,40,23,47,23,5,12,6,25,30,27
8,Swansea,46,16,20,10,63,50,68,23,11,9,3,40,22,42,23,5,11,7,23,28,26
9,Ipswich,46,17,15,14,62,53,66,23,8,9,6,30,26,33,23,9,6,8,32,27,33
10,Bristol City,46,15,16,15,54,54,61,23,7,13,3,30,23,34,23,8,3,12,24,31,27
11,Queens Park Rangers,46,15,16,15,42,44,61,23,12,7,4,28,19,43,23,3,9,11,14,25,18
12,Sheffield Wednesday,46,16,13,17,51,58,61,23,11,6,6,26,14,39,23,5,7,11,25,44,22
13,Watford,46,16,10,20,68,72,58,23,11,6,6,42,32,39,23,5,4,14,26,40,19
14,Doncaster,46,17,7,22,42,53,58,23,9,5,9,16,18,32,23,8,2,13,26,35,26
15,Crystal Palace,46,15,12,19,52,55,57,23,9,8,6,26,19,35,23,6,4,13,26,36,22
16,Blackpool,46,13,17,16,47,58,56,23,5,8,10,25,33,23,23,8,9,6,22,25,33
17,Coventry,46,13,15,18,47,58,54,23,8,8,7,26,26,32,23,5,7,11,21,32,22
18,Derby,46,14,12,20,55,67,54,23,9,7,7,31,26,34,23,5,5,13,24,41,20
19,Nottingham Forest,46,13,14,19,50,65,53,23,8,7,8,27,28,31,23,5,7,11,23,37,22
20,Barnsley,46,13,13,20,45,58,52,23,8,7,8,28,24,31,23,5,6,12,17,34,21
21,Plymouth,46,13,12,21,44,57,51,23,7,5,11,31,35,26,23,6,7,10,13,22,25
22,Norwich,46,12,10,24,57,70,46,23,9,5,9,35,28,32,23,3,5,15,22,42,14
23,Southampton,46,10,15,21,46,69,45,23,4,10,9,23,29,22,23,6,5,12,23,40,23
24,Charlton,46,8,15,23,52,74,39,23,6,8,9,33,38,26,23,2,7,14,19,36,13
