R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,West Bromwich Albion,46,23,12,11,88,55,81,23,12,8,3,51,27,44,23,11,4,8,37,28,37
2,Stoke,46,21,16,9,69,55,79,23,12,7,4,36,27,43,23,9,9,5,33,28,36
3,Hull,46,21,12,13,65,47,75,23,13,7,3,43,19,46,23,8,5,10,22,28,29
4,Bristol City,46,20,14,12,54,53,74,23,13,7,3,33,20,46,23,7,7,9,21,33,28
5,Crystal Palace,46,18,17,11,58,42,71,23,9,9,5,31,23,36,23,9,8,6,27,19,35
6,Watford,46,18,16,12,62,56,70,23,8,7,8,26,29,31,23,10,9,4,36,27,39
7,Wolverhampton Wanderers,46,18,16,12,53,48,70,23,11,6,6,31,25,39,23,7,10,6,22,23,31
8,Ipswich,46,18,15,13,65,56,69,23,15,7,1,44,14,52,23,3,8,12,21,42,17
9,Sheffield United,46,17,15,14,56,51,66,23,10,8,5,32,24,38,23,7,7,9,24,27,28
10,Plymouth,46,17,13,16,60,50,64,23,9,9,5,37,22,36,23,8,4,11,23,28,28
11,Charlton,46,17,13,16,63,58,64,23,9,7,7,38,29,34,23,8,6,9,25,29,30
12,Cardiff,46,16,16,14,59,55,64,23,12,4,7,31,21,40,23,4,12,7,28,34,24
13,Burnley,46,16,14,16,60,67,62,23,7,9,7,31,31,30,23,9,5,9,29,36,32
14,Queens Park Rangers,46,14,16,16,60,66,58,23,10,6,7,32,27,36,23,4,10,9,28,39,22
15,Preston,46,15,11,20,50,56,56,23,11,5,7,29,20,38,23,4,6,13,21,36,18
16,Sheffield Wednesday,46,14,13,19,54,55,55,23,9,5,9,29,25,32,23,5,8,10,25,30,23
17,Norwich,46,15,10,21,49,59,55,23,10,6,7,30,22,36,23,5,4,14,19,37,19
18,Barnsley,46,14,13,19,52,65,55,23,11,7,5,35,26,40,23,3,6,14,17,39,15
19,Blackpool,46,12,18,16,59,64,54,23,8,11,4,35,27,35,23,4,7,12,24,37,19
20,Southampton,46,13,15,18,56,72,54,23,9,5,9,26,27,32,23,4,10,9,30,45,22
21,Coventry,46,14,11,21,52,64,53,23,8,8,7,25,26,32,23,6,3,14,27,38,21
22,Leicester,46,12,16,18,42,45,52,23,7,7,9,23,19,28,23,5,9,9,19,26,24
23,Scunthorpe,46,11,13,22,46,69,46,23,7,8,8,31,33,29,23,4,5,14,15,36,17
24,Colchester,46,7,17,22,62,86,38,23,4,8,11,31,41,20,23,3,9,11,31,45,18
