NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Anfernee Dijksteel2,D,25,1.83 m,72 kg,Netherlands,4,1,0,0,0,0,3,4,0,0
Neil Taylor3,D,33,1.75 m,63 kg,Wales,3,0,0,0,0,0,3,2,0,0
Grant Hall4,D,30,1.75 m,71 kg,England,0,0,0,0,0,0,0,0,0,0
Dael Fry6,D,24,1.8 m,72 kg,England,3,0,0,0,0,0,0,2,0,0
Lee Peltier14,D,35,1.78 m,73 kg,England,4,3,0,0,0,0,3,0,1,0
Nathan Wood-Gordon15,D,19,--,--,England,1,0,0,0,0,0,0,0,0,0
Paddy McNair17,D,27,1.83 m,72 kg,Northern Ireland,4,0,0,0,0,0,2,3,1,0
Darnell Fisher20,D,28,1.75 m,78 kg,England,--,--,--,--,--,--,--,--,--,--
Sol Bamba22,D,37,1.91 m,88 kg,Ivory Coast,4,3,0,0,0,0,1,0,1,0
Marc Bola27,D,24,1.85 m,78 kg,England,2,2,0,0,1,0,0,0,0,0
Marcus Tavernier7,M,23,--,--,England,4,1,0,0,3,1,1,6,1,0
Martín Payero10,M,23,1.83 m,78 kg,Argentina,1,1,0,0,0,0,0,0,0,0
Jonathan Howson16,M,33,1.8 m,77 kg,England,4,0,0,0,4,0,5,1,1,0
James Léa Siliki23,M,25,1.83 m,68 kg,Cameroon,0,0,0,0,0,0,0,0,0,0
Matt Crooks25,M,28,1.83 m,72 kg,England,4,1,1,1,4,2,5,2,0,0
Jeremy Sivi34,M,19,--,--,England,--,--,--,--,--,--,--,--,--,--
Isaiah Jones35,M,22,--,--,England,4,1,0,0,1,1,3,4,0,0
Hayden Hackney38,M,19,--,--,England,1,0,0,0,0,0,0,0,0,0
Malik Dijksteel39,M,20,--,--,Netherlands,--,--,--,--,--,--,--,--,--,--
Cain Sykes40,M,19,--,--,England,0,0,0,0,0,0,0,0,0,0
Joseph Gibson42,M,20,--,--,England,1,0,0,0,0,0,0,0,0,0
Riley McGree48,M,23,1.78 m,72 kg,Australia,--,--,--,--,--,--,--,--,--,--
Andraz Sporar11,F,28,1.85 m,82 kg,Slovenia,2,0,0,0,5,0,0,2,0,0
Toyosi Olusanya13,F,24,1.75 m,68 kg,England,0,0,0,0,0,0,0,0,0,0
Duncan Watmore18,F,28,1.75 m,72 kg,England,3,2,0,1,1,0,2,3,0,0
Sammy Ameobi21,F,30,1.91 m,66 kg,England,--,--,--,--,--,--,--,--,--,--
Aaron Connolly26,F,22,1.75 m,69 kg,Ireland,2,1,0,0,0,0,0,4,0,0
Josh Coburn37,F,19,--,--,England,3,2,1,0,1,1,0,0,0,0
Folarin Balogun47,F,20,1.78 m,66 kg,England,3,1,0,0,6,1,1,2,0,0
Caolan Boyd-Munce50,F,22,--,--,Northern Ireland,1,0,1,0,1,1,0,0,0,0
