NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
George Friend3,D,32,1.88 m,83 kg,England,1,0,0,0,0,0,1,0,0,0
Ryan Shotton5,D,31,1.91 m,83 kg,England,0,0,0,0,0,0,0,0,0,0
Dael Fry6,D,22,1.8 m,72 kg,England,--,--,--,--,--,--,--,--,--,--
Marcus Tavernier7,D,21,--,--,England,1,0,0,0,2,0,0,0,0,0
Paddy McNair17,D,25,1.83 m,72 kg,Northern Ireland,1,1,0,0,1,0,0,1,0,0
Harold Moukoudi18,D,22,1.91 m,73 kg,Cameroon,--,--,--,--,--,--,--,--,--,--
Marvin Johnson21,D,29,1.78 m,73 kg,England,0,0,0,0,0,0,0,0,0,0
George Saville22,D,26,1.75 m,73 kg,Northern Ireland,1,0,0,0,1,0,2,0,1,0
Nathan Wood-Gordon25,D,17,--,--,England,1,0,0,0,0,0,1,1,0,0
Djed Spence29,D,19,--,--,England,--,--,--,--,--,--,--,--,--,--
Hayden Coulson33,D,21,--,--,England,--,--,--,--,--,--,--,--,--,--
Anfernee Dijksteel2,M,23,1.83 m,72 kg,Netherlands,1,0,0,0,0,0,2,0,0,0
Daniel Ayala4,M,29,1.91 m,81 kg,Spain,--,--,--,--,--,--,--,--,--,--
Adam Clayton8,M,31,1.75 m,73 kg,England,1,0,0,0,0,0,0,0,0,0
Britt Assombalonga9,M,27,1.78 m,78 kg,Congo DR,1,1,0,0,2,0,0,2,0,0
Jonathan Howson16,M,31,1.8 m,77 kg,England,--,--,--,--,--,--,--,--,--,--
Patrick Roberts19,M,23,1.68 m,58 kg,England,1,0,0,0,2,0,0,1,0,0
Lewis Wing26,M,24,--,--,England,--,--,--,--,--,--,--,--,--,--
Stephen Wearne32,M,19,--,--,England,--,--,--,--,--,--,--,--,--,--
Tyrone O'Neill35,M,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Solomon Brynn43,M,19,--,--,England,--,--,--,--,--,--,--,--,--,--
Hayden Hackney44,M,17,--,--,England,--,--,--,--,--,--,--,--,--,--
Ashley Fletcher11,F,24,1.85 m,78 kg,England,1,1,1,0,2,1,0,0,0,0
Rudy Gestede14,F,31,1.93 m,86 kg,Benin,1,0,0,0,2,0,1,0,0,0
Ravel Morrison15,F,27,1.75 m,71 kg,Jamaica,2,0,0,1,1,1,2,1,1,0
Lukas Nmecha20,F,21,1.85 m,78 kg,Germany,--,--,--,--,--,--,--,--,--,--
Rumarn Burrell41,F,19,--,--,England,--,--,--,--,--,--,--,--,--,--
