NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
George Friend3,D,32,1.88 m,83 kg,England,14,0,0,0,8,1,14,12,1,0
Ryan Shotton5,D,31,1.91 m,83 kg,England,21,1,0,0,5,2,12,15,3,0
Dael Fry6,D,22,1.8 m,72 kg,England,36,0,0,0,12,2,15,23,2,0
Marcus Tavernier7,D,21,--,--,England,37,10,3,5,65,19,32,55,5,0
Paddy McNair17,D,25,1.83 m,72 kg,Northern Ireland,41,5,6,2,54,13,44,84,6,1
Harold Moukoudi18,D,22,1.91 m,73 kg,Cameroon,8,0,0,1,2,1,10,1,2,0
Marvin Johnson21,D,29,1.78 m,73 kg,England,38,9,1,3,27,10,40,41,4,1
George Saville22,D,27,1.75 m,73 kg,Northern Ireland,37,6,1,2,34,10,55,33,9,1
Nathan Wood-Gordon25,D,18,--,--,England,1,1,0,0,0,0,1,0,0,0
Marc Bola27,D,22,1.85 m,78 kg,England,7,1,0,0,1,0,5,2,1,0
Sam Stubbs28,D,21,--,--,England,--,--,--,--,--,--,--,--,--,--
Djed Spence29,D,19,--,--,England,22,4,1,0,10,2,14,14,2,0
Hayden Coulson33,D,22,--,--,England,29,9,1,1,22,4,38,45,3,0
Anfernee Dijksteel2,M,23,1.83 m,72 kg,Netherlands,17,4,0,0,4,1,19,20,3,0
Adam Clayton8,M,31,1.75 m,73 kg,England,27,6,0,0,5,0,27,16,4,0
Britt Assombalonga9,M,27,1.78 m,78 kg,Congo DR,35,8,11,2,61,24,57,43,2,0
Jonathan Howson16,M,32,1.8 m,77 kg,England,41,0,0,6,23,3,41,28,8,1
Patrick Roberts19,M,23,1.68 m,58 kg,England,10,2,1,2,14,2,7,14,1,0
Lewis Wing26,M,25,--,--,England,40,12,7,2,81,18,33,30,6,0
Stephen Wearne32,M,19,--,--,England,--,--,--,--,--,--,--,--,--,--
Tyrone O'Neill35,M,20,--,--,England,1,1,0,0,0,0,1,0,0,0
Stephen Walker36,M,19,--,--,England,7,6,0,0,2,0,3,2,0,0
Solomon Brynn43,M,19,--,--,England,--,--,--,--,--,--,--,--,--,--
Hayden Hackney44,M,18,--,--,England,0,0,0,0,0,0,0,0,0,0
Ashley Fletcher11,F,24,1.85 m,78 kg,England,43,6,11,7,78,29,71,46,5,0
Ravel Morrison15,F,27,1.75 m,71 kg,Jamaica,3,0,0,0,3,0,3,4,0,0
Lukas Nmecha20,F,21,1.85 m,78 kg,Germany,11,7,0,0,11,2,7,12,1,0
Rumarn Burrell41,F,19,--,--,England,--,--,--,--,--,--,--,--,--,--
