R,Team,Left Side,Middle of the pitch,Right Side
1,Preston,40%,24%,37%
2,Charlton,39%,25%,36%
3,Milton Keynes Dons,39%,24%,37%
4,Fulham,38%,28%,34%
5,Bolton,38%,28%,34%
6,Huddersfield,38%,20%,42%
7,Bristol City,38%,24%,38%
8,Cardiff,38%,26%,36%
9,Rotherham,37%,27%,36%
10,Queens Park Rangers,37%,24%,40%
11,Blackburn,37%,25%,38%
12,Nottingham Forest,37%,27%,36%
13,Wolverhampton Wanderers,37%,23%,40%
14,Leeds,36%,22%,42%
15,Middlesbrough,36%,24%,41%
16,Reading,36%,27%,37%
17,Brentford,36%,22%,42%
18,Sheffield Wednesday,36%,26%,38%
19,Derby,35%,26%,39%
20,Ipswich,35%,21%,44%
21,Brighton,35%,25%,40%
22,Birmingham,34%,24%,42%
23,Burnley,32%,29%,39%
24,Hull,32%,25%,43%
