R,Team,Left Side,Middle of the pitch,Right Side
1,Ipswich,46%,20%,33%
2,Derby,43%,25%,32%
3,Barnsley,43%,23%,33%
4,Wigan,40%,24%,35%
5,Blackburn,40%,30%,30%
6,Nottingham Forest,40%,25%,36%
7,Bournemouth,39%,23%,38%
8,Charlton,39%,21%,40%
9,Queens Park Rangers,37%,28%,35%
10,Brighton,37%,25%,39%
11,Middlesbrough,37%,28%,36%
12,Leicester,37%,23%,40%
13,Watford,37%,30%,33%
14,Reading,36%,21%,43%
15,Yeovil,36%,28%,36%
16,Sheffield Wednesday,36%,29%,35%
17,Bolton,36%,29%,35%
18,Huddersfield,36%,22%,42%
19,Doncaster,36%,23%,41%
20,Blackpool,35%,26%,40%
21,Leeds,34%,26%,39%
22,Burnley,34%,27%,39%
23,Millwall,34%,29%,37%
24,Birmingham,33%,27%,39%
