R,Team,Left Side,Middle of the pitch,Right Side
1,Fulham,33%,31%,36%
2,Watford,35%,31%,34%
3,Blackburn,38%,30%,32%
4,Rotherham,33%,30%,37%
5,Blackpool,37%,28%,34%
6,Bolton,39%,27%,34%
7,Middlesbrough,40%,26%,35%
8,Birmingham,36%,26%,38%
9,Sheffield Wednesday,37%,26%,37%
10,Millwall,35%,26%,39%
11,Norwich,34%,26%,40%
12,Bournemouth,39%,25%,36%
13,Nottingham Forest,41%,25%,34%
14,Derby,39%,25%,36%
15,Brighton,36%,24%,40%
16,Cardiff,35%,24%,41%
17,Charlton,37%,24%,39%
18,Huddersfield,35%,23%,43%
19,Leeds,32%,23%,45%
20,Brentford,36%,22%,42%
21,Wigan,38%,21%,41%
22,Wolverhampton Wanderers,37%,21%,42%
23,Reading,34%,21%,45%
24,Ipswich,40%,20%,40%
