R,Team,Left Side,Middle of the pitch,Right Side
1,Milton Keynes Dons,42%,23%,35%
2,Ipswich,40%,21%,39%
3,Blackburn,39%,26%,35%
4,Preston,39%,26%,35%
5,Queens Park Rangers,38%,21%,41%
6,Huddersfield,38%,19%,43%
7,Bristol City,38%,24%,37%
8,Cardiff,37%,25%,38%
9,Charlton,37%,24%,39%
10,Nottingham Forest,37%,26%,38%
11,Brighton,36%,25%,39%
12,Bolton,36%,29%,35%
13,Fulham,36%,27%,37%
14,Rotherham,36%,25%,39%
15,Wolverhampton Wanderers,35%,23%,42%
16,Sheffield Wednesday,35%,27%,38%
17,Derby,34%,26%,40%
18,Burnley,34%,29%,37%
19,Birmingham,34%,26%,40%
20,Reading,34%,27%,38%
21,Brentford,34%,25%,41%
22,Hull,34%,25%,40%
23,Middlesbrough,34%,23%,43%
24,Leeds,34%,24%,43%
