R,Team,Left Side,Attempts from the middle,Right Side
1,Millwall,24%,60%,17%
2,Leicester,23%,58%,20%
3,Sheffield Wednesday,23%,62%,15%
4,Reading,22%,63%,15%
5,Nottingham Forest,21%,62%,17%
6,Huddersfield,21%,63%,17%
7,Ipswich,21%,63%,17%
8,Queens Park Rangers,21%,61%,18%
9,Bolton,21%,60%,19%
10,Birmingham,20%,64%,16%
11,Brighton,20%,62%,18%
12,Yeovil,20%,62%,18%
13,Doncaster,20%,65%,15%
14,Blackburn,20%,62%,17%
15,Burnley,20%,62%,18%
16,Wigan,19%,63%,18%
17,Watford,19%,67%,13%
18,Bournemouth,18%,64%,18%
19,Leeds,18%,61%,21%
20,Derby,17%,65%,19%
21,Middlesbrough,17%,66%,17%
22,Barnsley,17%,62%,21%
23,Charlton,16%,65%,19%
24,Blackpool,16%,64%,20%
