R,Team,Left Side,Attempts from the middle,Right Side
1,Barnsley,26%,55%,19%
2,Huddersfield,24%,54%,21%
3,Wigan,23%,59%,18%
4,Charlton,23%,60%,17%
5,Yeovil,22%,59%,20%
6,Derby,22%,64%,14%
7,Ipswich,22%,58%,20%
8,Doncaster,22%,57%,21%
9,Leeds,21%,65%,14%
10,Middlesbrough,20%,63%,17%
11,Leicester,20%,62%,18%
12,Watford,20%,63%,17%
13,Nottingham Forest,19%,65%,16%
14,Bolton,19%,61%,20%
15,Queens Park Rangers,19%,65%,16%
16,Blackpool,18%,65%,16%
17,Burnley,18%,59%,23%
18,Brighton,18%,67%,15%
19,Birmingham,17%,65%,18%
20,Millwall,16%,66%,19%
21,Reading,16%,66%,17%
22,Bournemouth,16%,64%,20%
23,Blackburn,16%,72%,12%
24,Sheffield Wednesday,15%,69%,17%
