R,Team,Left Side,Attempts from the middle,Right Side
1,Bristol City,25%,61%,13%
2,Brentford,23%,59%,18%
3,Burnley,23%,59%,18%
4,Charlton,23%,61%,16%
5,Blackburn,23%,61%,17%
6,Sheffield Wednesday,22%,64%,14%
7,Ipswich,21%,64%,15%
8,Leeds,21%,62%,17%
9,Wolverhampton Wanderers,21%,59%,20%
10,Brighton,21%,63%,16%
11,Queens Park Rangers,21%,59%,20%
12,Milton Keynes Dons,21%,62%,18%
13,Fulham,20%,63%,17%
14,Middlesbrough,19%,68%,13%
15,Huddersfield,19%,65%,16%
16,Preston,17%,63%,20%
17,Cardiff,17%,67%,17%
18,Birmingham,16%,68%,16%
19,Derby,16%,61%,23%
20,Rotherham,16%,66%,18%
21,Hull,15%,62%,23%
22,Bolton,15%,65%,20%
23,Nottingham Forest,15%,64%,21%
24,Reading,12%,67%,21%
