R,Team,Left Side,Attempts from the middle,Right Side
1,Milton Keynes Dons,29%,51%,19%
2,Ipswich,28%,58%,14%
3,Queens Park Rangers,24%,54%,21%
4,Hull,24%,61%,16%
5,Birmingham,22%,57%,21%
6,Bristol City,22%,58%,19%
7,Nottingham Forest,21%,65%,14%
8,Brentford,21%,57%,23%
9,Charlton,21%,63%,16%
10,Fulham,21%,63%,16%
11,Wolverhampton Wanderers,20%,63%,17%
12,Leeds,19%,60%,21%
13,Blackburn,19%,68%,13%
14,Huddersfield,19%,61%,19%
15,Brighton,18%,63%,19%
16,Rotherham,18%,63%,19%
17,Bolton,17%,71%,12%
18,Derby,16%,67%,17%
19,Preston,16%,72%,12%
20,Cardiff,15%,63%,22%
21,Middlesbrough,15%,65%,20%
22,Sheffield Wednesday,15%,68%,17%
23,Burnley,15%,70%,16%
24,Reading,14%,66%,19%
