R,Team,Left Side,Attempts from the middle,Right Side
1,Huddersfield,28%,57%,16%
2,Leicester,26%,57%,17%
3,Queens Park Rangers,26%,60%,14%
4,Derby,25%,58%,17%
5,Doncaster,25%,57%,18%
6,Barnsley,24%,55%,21%
7,Ipswich,23%,59%,18%
8,Middlesbrough,22%,59%,19%
9,Yeovil,22%,58%,20%
10,Millwall,21%,60%,19%
11,Brighton,21%,66%,13%
12,Nottingham Forest,21%,62%,17%
13,Bournemouth,20%,59%,20%
14,Wigan,20%,65%,15%
15,Leeds,19%,61%,19%
16,Sheffield Wednesday,18%,63%,18%
17,Charlton,18%,65%,18%
18,Burnley,17%,61%,22%
19,Bolton,17%,67%,16%
20,Blackpool,16%,66%,17%
21,Birmingham,16%,58%,26%
22,Blackburn,15%,71%,14%
23,Watford,14%,67%,19%
24,Reading,13%,68%,19%
