R,Team,Left Side,Attempts from the middle,Right Side
1,Leeds,27%,58%,15%
2,Ipswich,22%,59%,19%
3,Huddersfield,21%,66%,13%
4,Milton Keynes Dons,21%,65%,14%
5,Wolverhampton Wanderers,20%,63%,17%
6,Fulham,20%,64%,16%
7,Brentford,20%,62%,19%
8,Preston,20%,62%,19%
9,Queens Park Rangers,19%,63%,18%
10,Blackburn,19%,64%,17%
11,Birmingham,18%,65%,18%
12,Bristol City,18%,63%,19%
13,Reading,17%,67%,16%
14,Burnley,17%,60%,23%
15,Hull,17%,64%,19%
16,Brighton,17%,67%,16%
17,Charlton,16%,66%,18%
18,Bolton,16%,64%,20%
19,Nottingham Forest,16%,64%,20%
20,Cardiff,16%,68%,16%
21,Derby,15%,62%,22%
22,Sheffield Wednesday,15%,67%,18%
23,Middlesbrough,13%,71%,16%
24,Rotherham,12%,70%,18%
